datatype,ADPT,ASLP,ASTP,AWBT,AWND,PRCP,RHAV,RHMN,RHMX,SNOW,SNWD,TAVG,TMAX,TMIN,WDF2,WDF5,WSF2,WSF5,WT01,WT02,WT03,WT08,WT04,WT06,PSUN,TSUN,PGTM,WT05,WT07,WT09,WESD,WT10
SNWD,-0.19950462721183237,0.061173896833376394,-0.03905705518200427,-0.2531200708098188,0.05985035142729433,-0.0034951836071364798,0.049102732292724674,0.07330048653464931,0.023628316145459738,0.2550576043461805,1.0,-0.2709957613639188,-0.2700564813094668,-0.26442120099168703,0.04595070092446437,0.04887617765905568,0.02032239733674294,0.006438568409804134,,,,,,,,,-0.058163224176728825,,,,0.9999999999999999,
TAVG,0.7277265830265622,-0.35862350272380983,0.04634713928484446,0.9195114179988673,-0.19156438365358558,0.015244552050484155,-0.17173590163008962,-0.16546141255405503,-0.17893207232245323,-0.160043567199364,-0.2709957613639188,1.0,0.9721239484850317,0.9735428349781552,-0.10797675360160418,-0.1074093735482585,-0.038263427480978614,-0.0047989444908419715,,,,,,,-0.11296754336705496,0.008148262298507217,0.13498188342961986,,,,,
TMAX,0.6586949708495999,-0.3478947983343247,-0.028361137669400713,0.874022480764794,-0.23240030418869298,-0.040755685011746305,-0.2578525936186563,-0.2849701877140904,-0.22453706320061023,-0.17440555528955817,-0.2700564813094668,0.9721239484850317,1.0,0.9164706668507582,-0.07995783213367459,-0.07849443965400892,-0.07471577161212174,-0.04285751332513699,,,,,,,-0.06067877443487532,0.06508919392463469,0.1626162106688,,,,-1.0,
TMIN,0.7924281839827906,-0.335879775068205,0.15835329900762124,0.9453588785196181,-0.18446530653399792,0.0464499423924754,-0.03718073556215608,-0.012316649542181054,-0.0898614767766787,-0.15737256976692773,-0.26442120099168703,0.9735428349781552,0.9164706668507582,1.0,-0.11174997784304949,-0.110710023062839,-0.07011821602263354,-0.0397297829793726,,,,,,,-0.1357593527932142,-0.01700117580780083,0.13607015943711034,,,,-1.0,
WDF2,-0.13967764585686804,-0.1499126765432081,0.03174127100077817,-0.1316278732314666,0.08632893840306202,-0.054735818150856486,-0.09306179461941706,-0.11760203936984248,-0.05391281682621709,-0.004167057704343401,0.04595070092446437,-0.10797675360160418,-0.07995783213367459,-0.11174997784304949,1.0,0.7841925272663616,0.12826535403062575,0.1476676898471364,,,,,,,0.047107636040050735,0.014390534475832424,-0.02490439542242303,,,,-1.0,
WDF5,-0.14447749226276888,-0.14535233039445664,0.03813895596668994,-0.13312322527661602,0.07351189270647636,-0.0628189109463821,-0.10388438096534758,-0.1262254420581,-0.06766340019881788,-0.005709764826570834,0.04887617765905568,-0.1074093735482585,-0.07849443965400892,-0.110710023062839,0.7841925272663616,1.0,0.11378078271548232,0.13169702010756212,,,,,,,0.05159351064032098,0.005024125859621111,-0.01746699735889169,,,,-1.0,
WSF2,-0.058878426355477645,-0.2836925243229471,-0.1465305014523829,-0.07130560025714117,0.8031273335257603,0.2066151275445524,0.006044202728863589,0.010516154433723822,0.02189137024149108,0.08178440113848848,0.02032239733674294,-0.038263427480978614,-0.07471577161212174,-0.07011821602263354,0.12826535403062575,0.11378078271548232,1.0,0.9575769252895,,,,,,,-0.06651933984714352,-0.053919707785174305,0.0334076864132016,,,,1.0,
WSF5,-0.05206152314782275,-0.3201504223566491,-0.15224275939191648,-0.05075038331768732,0.7641488137331557,0.21581225857291528,-0.023911639176571638,-0.015366722776774398,-0.005485110323903275,0.06998482812653203,0.006438568409804134,-0.0047989444908419715,-0.04285751332513699,-0.0397297829793726,0.1476676898471364,0.13169702010756212,0.9575769252895,1.0,,,,,,,-0.024333974986879718,-0.021961245731870492,0.02953379355856626,,,,1.0,
WT01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WT02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WT03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WT08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WT04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WT06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSUN,-0.24871282361513905,0.17728820361046913,0.2557713592881292,-0.19700599937269994,0.11533593396548679,-0.3337761976749338,-0.42406655143258953,-0.4410872449882846,-0.283063239273097,,,-0.11296754336705496,-0.06067877443487532,-0.1357593527932142,0.047107636040050735,0.05159351064032098,-0.06651933984714352,-0.024333974986879718,,,,,,,1.0,0.9792781345094925,,,,,,
TSUN,-0.15056384742157305,0.158381254696539,0.23063227521127758,-0.09134607725545797,0.10537863106033175,-0.3240638045089903,-0.4077132598466613,-0.4220594529043322,-0.30145629858027667,,,0.008148262298507217,0.06508919392463469,-0.01700117580780083,0.014390534475832424,0.005024125859621111,-0.053919707785174305,-0.021961245731870492,,,,,,,0.9792781345094925,1.0,,,,,,
PGTM,0.16314503572512995,-0.12604372344102413,0.020480151141100595,0.15991148300673638,-0.03201098317836667,0.02528609942865255,0.07643165986149214,0.04934765400056434,0.07326211671445569,0.05438878260919078,-0.058163224176728825,0.13498188342961986,0.1626162106688,0.13607015943711034,-0.02490439542242303,-0.01746699735889169,0.0334076864132016,0.02953379355856626,,,,,,,,,1.0,,,,,
WT05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WT07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WT09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WESD,-1.0,-0.9999999999999999,-1.0,-1.0,-1.0,0.9999999999999999,1.0,1.0,1.0,1.0,0.9999999999999999,,-1.0,-1.0,-1.0,-1.0,1.0,1.0,,,,,,,,,,,,,1.0,
WT10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
